"box";"file_no";"vid_row_id";"date_";"vid_action";"datetime_vid";"vid_dur";"vid_comment_txt";"vid_act_se"
"170";"034";"n1";170;2017-05-18;"IN";2017-05-18 10:11:56.361;7980;NA;0
"171";"034";"n1";171;2017-05-18;"OUT";2017-05-18 10:12:01.756;7980;NA;0
"172";"034";"n1";172;2017-05-18;"IN";2017-05-18 10:12:50.763;7980;NA;0
"173";"034";"n1";173;2017-05-18;"OUT";2017-05-18 10:12:59.362;7980;NA;0
"174";"034";"n1";174;2017-05-18;"IN";2017-05-18 10:13:08.959;7980;NA;0
"175";"034";"n1";175;2017-05-18;"OUT";2017-05-18 10:13:11.936;7980;NA;0
"176";"034";"n1";176;2017-05-18;"IN";2017-05-18 10:13:37.763;7980;NA;0
"177";"034";"n1";177;2017-05-18;"OUT";2017-05-18 10:13:45.076;7980;NA;0
"178";"034";"n1";178;2017-05-18;"IN";2017-05-18 10:15:19.516;7980;NA;0
"179";"034";"n1";179;2017-05-18;"OUT";2017-05-18 10:15:25.994;7980;NA;0
"180";"034";"n1";180;2017-05-18;"IN";2017-05-18 10:16:38.598;7980;NA;0
"181";"034";"n1";181;2017-05-18;"OUT";2017-05-18 10:16:45.311;7980;NA;0
"182";"034";"n1";182;2017-05-18;"IN";2017-05-18 10:17:31.035;7980;NA;0
"183";"034";"n1";183;2017-05-18;"OUT";2017-05-18 10:17:36.805;7980;NA;0
"184";"034";"n1";184;2017-05-18;"IN";2017-05-18 10:18:29.357;7980;NA;0
"185";"034";"n1";185;2017-05-18;"IN";2017-05-18 10:18:33.920;7980;NA;0
"186";"034";"n1";186;2017-05-18;"OUT";2017-05-18 10:18:35.933;7980;NA;0
"187";"034";"n1";187;2017-05-18;"OUT";2017-05-18 10:18:40.283;7980;NA;0
"188";"034";"n1";188;2017-05-18;"IN";2017-05-18 10:20:30.559;7980;NA;0
"189";"034";"n1";189;2017-05-18;"OUT";2017-05-18 10:20:39.680;7980;NA;0
"190";"034";"n1";190;2017-05-18;"IN";2017-05-18 10:21:42.658;7980;NA;0
"191";"034";"n1";191;2017-05-18;"OUT";2017-05-18 10:21:47.359;7980;NA;0
"192";"034";"n1";192;2017-05-18;"IN";2017-05-18 10:22:46.644;7980;NA;0
"193";"034";"n1";193;2017-05-18;"OUT";2017-05-18 10:22:51.052;7980;NA;0
"194";"034";"n1";194;2017-05-18;"IN";2017-05-18 10:24:26.839;7980;NA;0
"195";"034";"n1";195;2017-05-18;"IN";2017-05-18 10:26:13.028;7980;NA;0
"196";"034";"n1";196;2017-05-18;"OUT";2017-05-18 10:26:15.434;7980;NA;0
"197";"034";"n1";197;2017-05-18;"OUT";2017-05-18 10:26:18.191;7980;NA;0
"198";"034";"n1";198;2017-05-18;"IN";2017-05-18 10:27:14.344;7980;NA;0
"199";"034";"n1";199;2017-05-18;"OUT";2017-05-18 10:27:18.078;7980;NA;0
"200";"034";"n1";200;2017-05-18;"IN";2017-05-18 10:28:56.700;7980;NA;0
"201";"034";"n1";201;2017-05-18;"OUT";2017-05-18 10:29:06.437;7980;NA;0
"202";"034";"n1";202;2017-05-18;"IN";2017-05-18 10:30:33.546;7980;NA;0
"203";"034";"n1";203;2017-05-18;"OUT";2017-05-18 10:30:38.240;7980;NA;0
"204";"034";"n1";204;2017-05-18;"IN";2017-05-18 10:31:08.467;7980;NA;0
"205";"034";"n1";205;2017-05-18;"OUT";2017-05-18 10:31:15.910;7980;NA;0
"206";"034";"n1";206;2017-05-18;"IN";2017-05-18 10:32:17.000;7980;NA;0
"207";"034";"n1";207;2017-05-18;"OUT";2017-05-18 10:32:25.869;7980;NA;0
"208";"034";"n1";208;2017-05-18;"IN";2017-05-18 10:36:27.529;7980;NA;0
"209";"034";"n1";209;2017-05-18;"OUT";2017-05-18 10:36:37.756;7980;NA;0
"210";"034";"n1";210;2017-05-18;"IN";2017-05-18 10:37:15.441;7980;NA;0
"211";"034";"n1";211;2017-05-18;"FRONT";2017-05-18 10:37:20.584;7980;NA;1
"212";"034";"n1";212;2017-05-18;"FRONT";2017-05-18 10:37:22.517;7980;NA;2
"213";"034";"n1";213;2017-05-18;"OUT";2017-05-18 10:37:23.956;7980;NA;0
"214";"034";"n1";214;2017-05-18;"IN";2017-05-18 10:37:25.759;7980;NA;0
"215";"034";"n1";215;2017-05-18;"OUT";2017-05-18 10:37:29.480;7980;NA;0
"216";"034";"n1";216;2017-05-18;"IN";2017-05-18 10:38:35.349;7980;NA;0
"217";"034";"n1";217;2017-05-18;"OUT";2017-05-18 10:38:41.118;7980;NA;0
"218";"034";"n1";218;2017-05-18;"IN";2017-05-18 10:39:09.075;7980;NA;0
"219";"034";"n1";219;2017-05-18;"OUT";2017-05-18 10:39:16.279;7980;NA;0
"220";"034";"n1";220;2017-05-18;"IN";2017-05-18 10:42:14.480;7980;NA;0
"221";"034";"n1";221;2017-05-18;"OUT";2017-05-18 10:42:20.592;7980;NA;0
"222";"034";"n1";222;2017-05-18;"IN";2017-05-18 10:43:55.269;7980;NA;0
"223";"034";"n1";223;2017-05-18;"OUT";2017-05-18 10:44:00.677;7980;NA;0
"224";"034";"n1";224;2017-05-18;"IN";2017-05-18 10:44:26.960;7980;NA;0
"225";"034";"n1";225;2017-05-18;"OUT";2017-05-18 10:44:37.371;7980;NA;0
"226";"034";"n1";226;2017-05-18;"IN";2017-05-18 10:44:39.319;7980;NA;0
"227";"034";"n1";227;2017-05-18;"OUT";2017-05-18 10:44:51.680;7980;NA;0
"228";"034";"n1";228;2017-05-18;"IN";2017-05-18 10:45:41.711;7980;NA;0
"229";"034";"n1";229;2017-05-18;"OUT";2017-05-18 10:45:47.730;7980;NA;0
"230";"034";"n1";230;2017-05-18;"IN";2017-05-18 10:46:36.197;7980;NA;0
"231";"034";"n1";231;2017-05-18;"OUT";2017-05-18 10:46:47.359;7980;NA;0
"232";"034";"n1";232;2017-05-18;"IN";2017-05-18 10:48:03.318;7980;NA;0
"233";"034";"n1";233;2017-05-18;"OUT";2017-05-18 10:48:10.401;7980;NA;0
"234";"034";"n1";234;2017-05-18;"IN";2017-05-18 10:48:36.319;7980;NA;0
"235";"034";"n1";235;2017-05-18;"OUT";2017-05-18 10:48:42.078;7980;NA;0
"236";"034";"n1";236;2017-05-18;"IN";2017-05-18 10:49:58.029;7980;NA;0
"237";"034";"n1";237;2017-05-18;"OUT";2017-05-18 10:50:05.118;7980;NA;0
"238";"034";"n1";238;2017-05-18;"IN";2017-05-18 10:52:13.878;7980;NA;0
"239";"034";"n1";239;2017-05-18;"OUT";2017-05-18 10:52:17.237;7980;NA;0
"240";"034";"n1";240;2017-05-18;"IN";2017-05-18 10:53:24.559;7980;NA;0
"241";"034";"n1";241;2017-05-18;"OUT";2017-05-18 10:53:33.921;7980;NA;0
"242";"034";"n1";242;2017-05-18;"IN";2017-05-18 10:55:03.914;7980;NA;0
"243";"034";"n1";243;2017-05-18;"OUT";2017-05-18 10:55:10.631;7980;NA;0
"244";"034";"n1";244;2017-05-18;"IN";2017-05-18 10:55:14.716;7980;NA;0
"245";"034";"n1";245;2017-05-18;"OUT";2017-05-18 10:55:24.318;7980;NA;0
"246";"034";"n1";246;2017-05-18;"IN";2017-05-18 10:55:42.920;7980;NA;0
"247";"034";"n1";247;2017-05-18;"OUT";2017-05-18 10:55:49.279;7980;NA;0
"248";"034";"n1";248;2017-05-18;"IN";2017-05-18 10:56:54.798;7980;NA;0
"249";"034";"n1";249;2017-05-18;"OUT";2017-05-18 10:56:59.730;7980;NA;0
